2022-12-04 16:05:49,168 INFO    StreamThr :12044 [internal.py:wandb_internal():88] W&B internal server running at pid: 12044, started at: 2022-12-04 16:05:49.168779
2022-12-04 16:05:49,180 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: status
2022-12-04 16:05:49,180 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: status
2022-12-04 16:05:49,185 INFO    WriterThread:12044 [datastore.py:open_for_write():75] open: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\run-3dzlqisz.wandb
2022-12-04 16:05:49,185 DEBUG   SenderThread:12044 [sender.py:send():303] send: header
2022-12-04 16:05:49,185 DEBUG   SenderThread:12044 [sender.py:send():303] send: run
2022-12-04 16:05:49,562 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: check_version
2022-12-04 16:05:49,562 INFO    SenderThread:12044 [dir_watcher.py:__init__():216] watching files in: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files
2022-12-04 16:05:49,562 INFO    SenderThread:12044 [sender.py:_start_run_threads():928] run started: 3dzlqisz with start time 1670166349.168779
2022-12-04 16:05:49,562 DEBUG   SenderThread:12044 [sender.py:send():303] send: summary
2022-12-04 16:05:49,562 INFO    SenderThread:12044 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-04 16:05:49,562 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: check_version
2022-12-04 16:05:49,657 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: run_start
2022-12-04 16:05:49,672 DEBUG   HandlerThread:12044 [system_info.py:__init__():31] System info init
2022-12-04 16:05:49,672 DEBUG   HandlerThread:12044 [system_info.py:__init__():46] System info init done
2022-12-04 16:05:49,672 INFO    HandlerThread:12044 [system_monitor.py:start():150] Starting system monitor
2022-12-04 16:05:49,672 INFO    SystemMonitor:12044 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-12-04 16:05:49,672 INFO    HandlerThread:12044 [system_monitor.py:probe():168] Collecting system info
2022-12-04 16:05:49,688 INFO    SystemMonitor:12044 [interfaces.py:start():168] Started cpu
2022-12-04 16:05:49,688 DEBUG   HandlerThread:12044 [system_info.py:probe():195] Probing system
2022-12-04 16:05:49,688 INFO    SystemMonitor:12044 [interfaces.py:start():168] Started disk
2022-12-04 16:05:49,704 INFO    SystemMonitor:12044 [interfaces.py:start():168] Started memory
2022-12-04 16:05:49,719 INFO    SystemMonitor:12044 [interfaces.py:start():168] Started network
2022-12-04 16:05:49,719 DEBUG   HandlerThread:12044 [git.py:repo():40] git repository is invalid
2022-12-04 16:05:49,719 DEBUG   HandlerThread:12044 [system_info.py:probe():241] Probing system done
2022-12-04 16:05:49,719 DEBUG   HandlerThread:12044 [system_monitor.py:probe():177] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.9.13', 'heartbeatAt': '2022-12-04T15:05:49.688718', 'startedAt': '2022-12-04T15:05:49.149349', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\alban\\PycharmProjects\\FDL\\Kaggle\\main.py', 'codePath': 'main.py', 'host': 'LAPTOP-T4QGB0N7', 'username': 'alban', 'executable': 'C:\\Users\\alban\\PycharmProjects\\FDL\\venv\\Scripts\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 3301.0, 'min': 0.0, 'max': 3301.0}, 'cpu_freq_per_core': [{'current': 3301.0, 'min': 0.0, 'max': 3301.0}], 'disk': {'total': 930.4260902404785, 'used': 190.68592071533203}, 'memory': {'total': 15.406242370605469}}
2022-12-04 16:05:49,719 INFO    HandlerThread:12044 [system_monitor.py:probe():178] Finished collecting system info
2022-12-04 16:05:49,719 INFO    HandlerThread:12044 [system_monitor.py:probe():181] Publishing system info
2022-12-04 16:05:49,719 DEBUG   HandlerThread:12044 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2022-12-04 16:05:49,719 DEBUG   HandlerThread:12044 [system_info.py:_save_pip():67] Saving pip packages done
2022-12-04 16:05:49,726 INFO    HandlerThread:12044 [system_monitor.py:probe():183] Finished publishing system info
2022-12-04 16:05:49,726 DEBUG   SenderThread:12044 [sender.py:send():303] send: files
2022-12-04 16:05:49,726 INFO    SenderThread:12044 [sender.py:_save_file():1171] saving file wandb-metadata.json with policy now
2022-12-04 16:05:49,735 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:05:49,735 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:05:49,932 DEBUG   SenderThread:12044 [sender.py:send():303] send: telemetry
2022-12-04 16:05:50,261 INFO    Thread-20 :12044 [upload_job.py:push():143] Uploaded file C:\Users\alban\AppData\Local\Temp\tmp1ln9v99nwandb\1kmp0a81-wandb-metadata.json
2022-12-04 16:05:50,575 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\wandb-summary.json
2022-12-04 16:05:50,575 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\wandb-metadata.json
2022-12-04 16:05:50,575 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\requirements.txt
2022-12-04 16:06:04,937 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:06:04,937 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:06:20,137 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:06:20,137 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:06:23,747 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\config.yaml
